"name","birthDate","birthPlace","height","weight","startYear","endYear","leagues","positions","teams","awards"
"Víctor Lapeña",1975-03-12,"Spain",,,,,"EuroLeague Women","Coach (basketball)","Fenerbahçe S.K. (women's basketball)","Liga Femenina de Baloncesto, Turkish Women's Basketball Cup"
"Siniša Štemberger",1979-04-23,"Socialist Republic of Croatia",1.9558,,1998-01-01,,"HT Premijer liga","Basketball positions, Coach (sport)","KK Kvarner 2010","2012–13 Basketball Championship of Bosnia and Herzegovina, Basketball Championship of Bosnia and Herzegovina"
"Masashi Joho",1982-04-24,"Sapporo",1.8288,83008.8,2005-01-01,,"B.League","Shooting guard","Ehime Orange Vikings","Bj league"
"Rob Gray (basketball)",1994-04-03,"Forest City, North Carolina",1.8542,81648.0,2018-01-01,,"EuroLeague, LNB Pro A","Shooting guard","AS Monaco Basket","American Athletic Conference, EuroCup Basketball, EuroCup Basketball Finals MVP"
"Marco Ceron",1992-06-16,"Province of Venice",,100000.0,2009-01-01,,"Lega Basket","Shooting guard","Virtus Bologna","Italian Basketball Supercup"
"Marius Runkauskas",1986-05-20,"Klaipėda",,78000.0,2003-01-01,,"National Basketball League (Lithuania)","Shooting guard","BC Gargždai-SC","LKL Three-point Shootout, Liga Națională (men's basketball)"
"Fedor Žugić",2003-09-18,"Kotor",,85000.0,2018-01-01,,"Basketball Bundesliga, EuroCup Basketball","Shooting guard","Ratiopharm Ulm","Montenegrin Basketball Cup, Prva A Liga"
"Marius Runkauskas",1986-05-20,"Lithuanian Soviet Socialist Republic",,78000.0,2003-01-01,,"National Basketball League (Lithuania)","Shooting guard","BC Gargždai-SC","Liga Națională Finals MVP"
"Oleksandr Lypovyy",1991-10-09,"Kharkiv",,91000.0,2008-01-01,,"Ukrainian Basketball SuperLeague","Shooting guard","BC Prometey","Ukrainian Basketball Cup, Ukrainian Basketball SuperLeague"
"Mateo Drežnjak",1999-03-08,"Mostar",1.94818,,2015-01-01,,"ABA League, HT Premijer liga","Shooting guard","KK Cibona","Basketball Championship of Bosnia and Herzegovina, Krešimir Ćosić Cup"
"Marko Car (basketball)",1985-10-21,"Karlovac",1.8796,,2002-01-01,,"Austrian Basketball Superliga","Shooting guard","UBSC Graz","Krešimir Ćosić Cup"
"Malachi Smith (basketball)",1999-12-06,"Evansville, Indiana",1.9304,92988.0,,,"Southern Conference","Shooting guard","Chattanooga Mocs men's basketball","Horizon League, Southern Conference"
"Vincent Nguyen (basketball)",1995-02-24,"Schijndel",1.8034,69854.4,,,"Vietnam Basketball Association","Point guard","Hochiminh City Wings","2017 VBA season, 2019 VBA season"
"Mareks Jurevičus",1985-01-17,"Liepāja",,86000.0,,,"Latvian-Estonian Basketball League","Shooting guard","BK Ventspils","Latvijas Basketbola līga"
"Vladimir Filipović",1985-07-28,"Socialist Federal Republic of Yugoslavia",,88000.0,2001-01-01,,"First Regional Basketball League (Serbia)","Shooting guard","KK Knjaževac 1950","Macedonian First League (basketball)"
"Marin Rozić",1983-02-14,"Mostar",,100000.0,2000-01-01,2020-01-01,"HT Premijer liga","Small forward, Sporting director","KK Cibona","HT Premijer liga"
"Gintaras Krapikas",1961-07-06,"Kretinga",1.9558,,1985-01-01,1999-01-01,"Chinese Basketball Association","Head coach","Free agent","Soviet Union"
"Vladimir Krstić (basketball)",1972-07-27,"Osijek",,,1990-01-01,2011-01-01,"HT Premijer liga","Point guard","KK Dubrava","HT Premijer liga"
"Gianmarco Pozzecco",1972-09-15,"Gorizia",,,1991-01-01,2010-01-01,"EuroLeague","Point guard","Olimpia Milano","HT Premijer liga"
"Otto Porter Jr.",1993-06-03,"St. Louis",2.032,89812.8,2013-01-01,,"National Basketball Association","Small forward","Golden State Warriors","Big East Conference Men's Basketball Player of the Year, List of All-Big East Conference men's basketball teams, NCAA Men's Basketball All-Americans"
"Matt Farrell",1996-03-15,"New Brunswick, New Jersey",1.8542,79380.0,2018-01-01,,"Basketball Bundesliga","Point guard","Baskets Oldenburg","List of All-Atlantic Coast Conference men's basketball teams"
"Robert Woodard II",1999-09-22,"Columbus, Mississippi",1.9812,106596.0,2020-01-01,,"NBA G League","Small forward","Oklahoma City Blue","All-NBA G League Team"
"Martin Hermannsson",1994-09-16,"Reykjavík",,77000.0,2009-01-01,,"EuroCup Basketball, Liga ACB","Point guard","Valencia Basket","Icelandic Men's Basketball Cup"
"Marko Jagodić-Kuridža",1987-05-15,"Socialist Federal Republic of Yugoslavia",,104000.0,2005-01-01,,"EuroCup Basketball, Prva A Liga","Power forward (basketball)","KK Budućnost","HT Premijer liga, Slovenian Basketball Supercup"
"Margiris Normantas",1996-10-27,"Vilnius",,94000.0,2014-01-01,,"Lietuvos krepšinio lyga","Point guard","BC Rytas","Karaliaus Mindaugo taurė"
"Martynas Sajus",1996-02-22,"Kelmė",,112000.0,2014-01-01,,"Basketball Bundesliga","Center (basketball)","Medi Bayreuth","Karaliaus Mindaugo taurė"
"Maik Kotsar",1996-12-22,"Tallinn",,122500.0,2015-01-01,,"EuroCup Basketball","Center (basketball), Power forward (basketball)","Hamburg Towers","Southeastern Conference"
"Maik Kotsar",1996-12-22,"Tallinn",,122500.0,2015-01-01,,"Basketball Bundesliga","Center (basketball), Power forward (basketball)","Hamburg Towers","Southeastern Conference"
"Marko Ramljak",1993-03-14,"Posušje",2.0066,,2010-01-01,,"Basketball Championship of Bosnia and Herzegovina","Small forward","OKK Spars","HT Premijer liga"
"Siniša Štemberger",1979-04-23,"Rijeka",1.9558,,1998-01-01,,"HT Premijer liga","Basketball positions, Coach (sport)","KK Kvarner 2010","HT Premijer liga, Mirza Delibašić Cup"
"Marko Jošilo",1992-10-16,"Serbia and Montenegro",,,2011-01-01,,"Basketball Champions League","Power forward (basketball)","KK Igokea","Mirza Delibašić Cup"
"Martin Junaković",1994-02-16,"Šibenik",,,2009-01-01,,"ABA League","Point guard","KK Zadar","HT Premijer liga"
"Martin Junaković",1994-02-16,"Šibenik",,,2009-01-01,,"HT Premijer liga","Point guard","KK Zadar","HT Premijer liga"
"Lisván Valdés",1988-01-21,"Guantánamo",,,2005-01-01,,"Liga Mayor de Baloncesto","Power forward (basketball)","Santa Tecla BC","All-star"
"Ricard Casas",1962-09-12,"Catalonia",,,,,"Liga ACB","Coach (basketball)","FC Barcelona Bàsquet","Lliga Catalana de Bàsquet"
"Ogoh Odaudu",1981-08-03,"Jos",,,,,"Nigerian Premier League (basketball)","Head coach","Rivers Hoopers","Nigerian Premier League (basketball)"
"Ricard Casas",1962-09-12,"Spain",,,,,"Liga ACB","Coach (basketball)","FC Barcelona Bàsquet","Lliga Catalana de Bàsquet"
"Tim Cone",1957-12-14,"Oregon",,,,,"Philippine Basketball Association","Head coach","Barangay Ginebra San Miguel","Philippine Basketball Association All-Star Weekend"
"Marcus Georges-Hunt",1994-03-28,"Miami",1.9812,99792.0,2016-01-01,,"NBA G League","Shooting guard","College Park Skyhawks","All-NBA G League Team, List of All-Atlantic Coast Conference men's basketball teams, NBA Development League All-Star Game"
"Faezeh Shahriari",1994-10-28,"Tehran",1.7526,65318.4,2007-01-01,,"Iranian Basketball Super League","Shooting guard","Chemidor Tehran BC","Palayesh Naft Abadan BC, WABA Champions Cup"
"Reuben Te Rangi",1994-10-14,"Auckland",,105000.0,2012-01-01,,"National Basketball League (New Zealand)","Shooting guard","South East Melbourne Phoenix","List of NBL champions, List of New Zealand NBL champions, NBL Best Sixth Man Award, NBL Most Improved Player Award, New Zealand NBL Finals Most Valuable Player Award, New Zealand NBL Youth Player of the Year Award"
"Rhyne Howard",2000-04-29,"Chattanooga, Tennessee",1.8796,,,,"Southeastern Conference","Shooting guard","Kentucky Wildcats women's basketball","WBCA Freshman of the Year"
"Kazuhiro Shoji",1974-04-26,"Sugito, Saitama",1.905,92080.8,1997-01-01,2013-01-01,"B.League","Head coach","Ehime Orange Vikings","Bj league"
"Michael Koch (basketball)",1966-01-13,"Hesse",1.89865,86184.0,1983-01-01,2004-01-01,"Cyprus Basketball Division A","Head coach, Point guard, Shooting guard","AEL Limassol B.C.","BBL-Pokal, Basketball Bundesliga, Basketball Bundesliga Most Valuable Player, EuroLeague, FIBA Intercontinental Cup, Greek Basket League"
"Patrick Ewing",1962-08-05,"Colony of Jamaica",2.1336,108864.0,1985-01-01,2002-01-01,"Big East Conference","Center (basketball), Head coach","Georgetown Hoyas men's basketball","1989 NBA playoffs, 50 Greatest Players in NBA History, All-NBA Team, Big East Conference Men's Basketball Defensive Player of the Year, Big East Conference Men's Basketball Player of the Year, Big East Men's Basketball Tournament, List of All-Big East Conference men's basketball teams, List of NCAA Division I men's basketball champions, List of U.S. high school basketball national player of the year awards, List of U.S. men's college basketball national player of the year awards, McDonald's All-American Game, NBA 75th Anniversary Team, NBA All-Defensive Team, NBA All-Rookie Team, NBA All-Star Game, NBA Rookie of the Year Award, NCAA Basketball Tournament Most Outstanding Player, NCAA Men's Basketball All-Americans, New York Knicks, Parade All-America Boys Basketball Team"
"Igors Miglinieks",1964-05-04,"Latvian Soviet Socialist Republic",1.9431,96163.2,1981-01-01,2000-01-01,"Chinese Basketball Association","Point guard, Shooting guard","Guangdong Southern Tigers","Cypriot Basketball Super Cup, Cyprus Basketball Division A, FIBA All-Star Games, USSR Premier Basketball League, Unified Sports Classification System of the USSR and Russia"
"Milan Tomić",1973-07-24,"Belgrade",1.89865,86184.0,1990-01-01,2006-01-01,"Greek Basket League","Coach (basketball), Point guard","Peristeri B.C.","ABA League, ABA League Supercup, Basketball League of Serbia, EuroLeague, Greek Basket League, Greek Basketball Cup"
"Mo Williams",1982-12-19,"Jackson, Mississippi",1.8542,89812.8,2003-01-01,2017-01-01,"Southwestern Athletic Conference","Point guard","Alabama State Hornets basketball","List of NBA All-Stars, List of NBA champions, McDonald's All-American Game, Mississippi Mr. Basketball, Parade All-America Boys Basketball Team, Southeastern Conference, Southeastern Conference Men's Basketball Rookie of the Year"
"Penny Hardaway",1971-07-18,"Memphis, Tennessee",2.0066,97524.0,1993-01-01,2007-01-01,"American Athletic Conference","Head coach, Point guard, Shooting guard","Memphis Tigers men's basketball","All-NBA Team, Great Midwest Conference Men's Basketball Player of the Year, List of NBA All-Stars, Memphis Tigers men's basketball, NBA All-Rookie Team, NCAA Men's Basketball All-Americans, National Invitation Tournament, Parade All-America Boys Basketball Team, Rising Stars Challenge"
"Matthew Nielsen",1978-02-03,"New South Wales",,106000.0,1995-01-01,2013-01-01,"National Basketball Association","Power forward (basketball)","San Antonio Spurs","Australian International Player of the Year, EuroCup Basketball All-EuroCup Team, List of NBL champions, List of National Basketball League (Australia) annual scoring leaders, NBL Grand Final Most Valuable Player Award"
"Maurizio Gherardini",1955-09-22,"Forlì",,,1971-01-01,1980-01-01,"Basketbol Süper Ligi, EuroLeague","General manager","Fenerbahçe S.K. (basketball)","Basketbol Süper Ligi, FIBA Saporta Cup, Gianluigi Porelli EuroLeague Executive of the Year, Italian Basketball Cup, Italian Basketball Supercup, Lega Basket, Lega Basket Serie A awards, Turkish Basketball Cup, Turkish Basketball Presidential Cup"
"Guy Goodes",1970-03-13,"Israel men's national basketball team",,,1985-01-01,2004-01-01,"Israeli Basketball Premier League","Point guard","Hapoel Holon B.C.","2013–14 Euroleague, Euroleague Basketball, Israeli Basketball Premier League"
"Goran Bjedov",1971-02-27,"Socialist Federal Republic of Yugoslavia",,,1989-01-01,1996-01-01,"EuroLeague","Coach (sport), Small forward","Fenerbahçe S.K. (basketball)","BBL-Pokal, Basketball Champions League, Lega Basket"
"Mihailo Pavićević",1958-03-15,"Socialist Federal Republic of Yugoslavia",,,1976-01-01,1989-01-01,"Prva A Liga","Basketball positions, Coach (basketball)","KK Mornar Bar","Finnish Basketball Cup, Korisliiga, Prva A Liga, YUBA League"
"Mihailo Pavićević",1958-03-15,"Socialist Federal Republic of Yugoslavia",,,1976-01-01,1989-01-01,"Prva A Liga","Coach (basketball)","KK Mornar Bar","YUBA League"
"Igor Mihajlovski",1973-12-24,"Socialist Republic of Macedonia",,,1988-01-01,2003-01-01,"Macedonian First League (basketball)","Basketball positions","KK Rabotnički","YUBA League, Yugoslav Basketball Cup"
"Igor Mihajlovski",1973-12-24,"Socialist Republic of Macedonia",,,1988-01-01,2003-01-01,"Macedonian First League (basketball)","Coach (sport)","KK Rabotnički","YUBA League, Yugoslav Basketball Cup"
"Mihailo Pavićević",1958-03-15,"Socialist Republic of Montenegro",,,1976-01-01,1989-01-01,"Prva A Liga","Coach (basketball)","KK Mornar Bar","YUBA League"
"Isaiah Hartenstein",1998-05-05,"Eugene, Oregon",2.1336,113400.0,2015-01-01,,"National Basketball Association","Center (basketball)","Los Angeles Clippers","Karaliaus Mindaugo taurė, Lietuvos krepšinio lyga, NBA G League, NBA G League Finals Most Valuable Player Award"
"Matt Stainbrook",1992-03-05,"Dayton, Ohio",2.0828,122472.0,2015-01-01,,"Liga Española de Baloncesto","Center (basketball)","AB Castelló","Liga Española de Baloncesto, List of All-Big East Conference men's basketball teams"
"Karl-Anthony Towns",1995-11-15,"Edison, New Jersey",2.1082,112493.0,2015-01-01,,"National Basketball Association","Center (basketball)","Minnesota Timberwolves","All-NBA Team, Gatorade Player of the Year awards, List of NBA All-Stars, McDonald's All-American Game, NBA All-Rookie Team, NBA Rookie of the Year Award, NCAA Men's Basketball All-Americans, Parade All-America Boys Basketball Team, Southeastern Conference, Southeastern Conference Men's Basketball Rookie of the Year, Three-Point Contest"
"Mercedes Russell",1995-07-27,"Springfield, Oregon",1.9812,88452.0,2018-01-01,,"Women's National Basketball Association","Center (basketball)","Seattle Storm","2020 WNBA Finals, Gatorade Player of the Year awards, WNBA Commissioner's Cup, WNBA Finals"
"Talib Zanna",1990-10-01,"Nigeria",2.0574,104328.0,2014-01-01,,"NBA G League","Center (basketball)","Maine Celtics","Atlantic Coast Conference, FIBA Europe Cup, French Basketball Cup"
"Tacko Fall",1995-12-10,"Dakar",2.286,141070.0,2019-01-01,,"NBA G League","Center (basketball)","Cleveland Charge","2016–17 American Athletic Conference men's basketball season, American Athletic Conference, List of NBA G League awards"
"Michal Čekovský",1994-06-17,"Košice",2.159,113400.0,2010-01-01,,"Slovak Basketball League","Center (basketball), Power forward (basketball)","Spišskí Rytieri","ABA League, Basketball League of Serbia, Radivoj Korać Cup"
"Islando Manuel",1991-01-07,"Angola",1.9304,88905.6,2009-01-01,,"Angolan Basketball League, FIBA Africa Basketball League","Power forward (basketball)","C.D. Primeiro de Agosto (basketball)","Angolan Basketball League, Supertaça Compal, Supertaça de Angola (basketball), Taça de Angola (basketball)"
"Talib Zanna",1990-10-01,"Kaduna",2.0574,104328.0,2014-01-01,,"NBA G League","Center (basketball)","Maine Celtics","Atlantic Coast Conference, FIBA Europe Cup, French Basketball Cup"
"Gëzim Morina",1992-12-12,"Socialist Federal Republic of Yugoslavia",2.032,102060.0,2010-01-01,,"Kosovo Basketball Superleague","Center (basketball), Power forward (basketball)","KB Ylli","Kosovo Cup (basketball), Slovenian Basketball Cup"
"Maurice Kemp",1991-02-02,"Miami",2.032,86184.0,2013-01-01,,"Israeli Basketball Premier League","Power forward (basketball)","Bnei Herzliya Basket","Conference USA, Israeli Basketball State Cup, Latvian-Estonian Basketball League"
"Guerschon Yabusele",1995-12-17,"Dreux",,123000.0,2013-01-01,,"EuroLeague","Power forward (basketball)","Real Madrid Baloncesto","LNB Pro A"
"Miro Bilan",1989-07-21,"Šibenik",,121000.0,2006-01-01,,"Basketball Champions League, Ukrainian Basketball SuperLeague","Center (basketball)","BC Prometey","ABA League MVP, EuroCup Basketball, French Basketball Cup, Lega Basket, Supercoppa Italiana"
"Miralem Halilović",1991-07-22,"Tuzla",,107000.0,2007-01-01,,"LNB Pro A","Center (basketball)","Metropolitans 92","Krešimir Ćosić Cup"
"Miralem Halilović",1991-07-22,"Tuzla",,107000.0,2007-01-01,,"LNB Pro A","Center (basketball)","Metropolitans 92","LNB Pro A"
"Kerem Kanter",1995-04-29,"Bursa",,109000.0,2018-01-01,,"Polish Basketball League","Center (basketball), Power forward (basketball)","Śląsk Wrocław (basketball)","Greek Basket League individual statistics, Lietuvos krepšinio lyga"
"Kevarrius Hayes",1997-03-05,"Live Oak, Florida",,103000.0,2019-01-01,,"EuroCup Basketball","Center (basketball)","Bursaspor Basketbol","French Basketball Cup, LNB Pro A"
"Miralem Halilović",1991-07-22,"Socialist Republic of Bosnia and Herzegovina",,107000.0,2007-01-01,,"EuroCup Basketball, LNB Pro A","Center (basketball), Power forward (basketball)","Metropolitans 92","Krešimir Ćosić Cup, LNB Pro A"
"Miro Bilan",1989-07-21,"Socialist Republic of Croatia",,121000.0,2006-01-01,,"Basketball Champions League","Center (basketball)","BC Prometey","2016–17 ABA League, Lega Basket"
"Matthias Tass",1999-03-23,"Tallinn",,111000.0,2016-01-01,,"West Coast Conference","Center (basketball), Power forward (basketball)","Saint Mary's Gaels men's basketball","Estonian Basketball Cup, KML Best Young Player Award, Korvpalli Meistriliiga"
"T. J. Warren",1993-09-05,"Durham, North Carolina",2.032,99792.0,2014-01-01,,"National Basketball Association","Small forward","Indiana Pacers","Atlantic Coast Conference, Atlantic Coast Conference Men's Basketball Player of the Year, List of All-Atlantic Coast Conference men's basketball teams, McDonald's All-American Game, NCAA Men's Basketball All-Americans"
"Kenan Sipahi",1995-05-26,"Serbia and Montenegro",1.97485,88452.0,2010-01-01,,"Basketbol Süper Ligi","Point guard","Beşiktaş J.K. (men's basketball)","Basketbol Süper Ligi, FIBA U18 European Championship"
"Isaiah Washington (basketball)",1998-07-20,"Harlem",1.8542,87998.4,2021-01-01,,"Prva A Liga","Point guard","KK Lovćen 1947","Mr. New York Basketball"
"Kelan Martin",1995-08-03,"Louisville, Kentucky",1.9558,104328.0,2018-01-01,,"National Basketball Association","Small forward","Boston Celtics","Associated Press, List of All-Big East Conference men's basketball teams"
"Kelsey Mitchell (basketball)",1995-11-12,"Cincinnati",1.7272,72576.0,2018-01-01,,"Women's National Basketball Association","Point guard","Indiana Fever","Big Ten Conference, Big Ten Conference Women's Basketball Freshman of the Year, Big Ten Conference Women's Basketball Player of the Year, USBWA National Freshman of the Year"
"Kelvin Lewis",1988-04-12,"Dallas",1.9304,92080.8,2010-01-01,,"Austrian Basketball Superliga","Basketball positions","SKN St. Pölten (basketball)","Conference USA, Conference USA Men's Basketball Tournament, Korisliiga, Korisliiga Defensive Player of the Year, NBA G League, Romanian Basketball Cup, Úrvalsdeild karla (basketball)"
"Mindaugas Kačinas",1993-06-30,"Klaipėda",2.0447,101153.0,2016-01-01,,"Liga ACB","Power forward (basketball)","CB Breogán","Liga Española de Baloncesto"
"Keifer Sykes",1993-12-30,"Chicago",1.8034,75751.2,2015-01-01,,"National Basketball Association","Point guard","Indiana Pacers","2015 NCAA Men's Basketball All-Americans, Associated Press, Horizon League, Horizon League Men's Basketball Player of the Year, Korean Basketball League"
"Mindaugas Kuzminskas",1989-10-19,"Vilnius",2.0574,97524.0,2006-01-01,,"EuroLeague, VTB United League","Power forward (basketball), Small forward","BC Zenit Saint Petersburg","2012–13 LKL season, Baltic Basketball League, Italian Basketball Supercup, LKF Cup, LKL All-Star Game, LKL All-Star Game Most Valuable Player Award, LKL Finals, Lega Basket, Lietuvos krepšinio lyga, VTB United League All-Star Game"
"Mihajlo Andrić",1994-01-04,"Serbia and Montenegro",,98000.0,2012-01-01,,"EuroCup Basketball","Small forward","Promitheas Patras B.C.","2013–14 Basketball League of Serbia, Radivoj Korać Cup"
"Tadej Ferme",1991-10-17,"Celje",,89000.0,2007-01-01,,"Premier A Slovenian Basketball League","Basketball positions","Helios Suns","ABA League Second Division, Premier A Slovenian Basketball League"
"Maya Moore",1989-06-11,"Jefferson City, Missouri",,79380.0,2011-01-01,,"Women's National Basketball Association","Small forward","Minnesota Lynx","2013 WNBA Finals, 2015 WNBA Finals, 2017 WNBA All-Star Game, 2017 WNBA Finals, Liga Femenina de Baloncesto, USBWA National Freshman of the Year, WNBA All-Star Game"
"Kendrick Ray",1994-01-26,"The Bronx",,85276.8,2017-01-01,,"EuroCup Basketball, Greek Basket League","Point guard, Shooting guard","Promitheas Patras B.C.","2015–16 Atlantic Sun Conference men's basketball season, ASUN Conference, Basketball Champions League Star Lineup, Greek Basketball Cup MVP"
"Kendrick Ray",1994-01-26,"The Bronx",,85276.8,2017-01-01,,"EuroCup Basketball","Point guard","Promitheas Patras B.C.","2017–18 NBL (Czech Republic) season, National Basketball League (Czech Republic)"
"Miloš Bojović",1981-12-02,"Belgrade",,88000.0,1999-01-01,,"Pro Basketball League","Basketball positions","Limburg United","2018–19 Pro Basketball League, BLS First League MVP, Montenegrin Basketball Cup, Pro Basketball League, Prva A Liga"
"Guillem Vives",1993-06-16,"Barcelona",,86184.0,2011-01-01,,"Liga ACB","Point guard","Club Joventut Badalona","ACB Best Young Player Award"
"Guy Pnini",1983-09-04,"Israel",,94000.0,2001-01-01,,"Basketball Champions League","Small forward","Hapoel Holon B.C.","Israeli Basketball Premier League, Israeli Basketball State Cup"
"Miljan Rakić",1986-05-14,"Socialist Federal Republic of Yugoslavia",,80000.0,2004-01-01,,"Second Basketball League of Serbia","Basketball positions","KK Sveti Đorđe","ABA League"
"Miljan Rakić",1986-05-14,"Socialist Federal Republic of Yugoslavia",,80000.0,2004-01-01,,"Second Basketball League of Serbia","Basketball positions","KK Sveti Đorđe","Nemzeti Bajnokság I/A (men's basketball)"
"Miralem Halilović",1991-07-22,"Socialist Federal Republic of Yugoslavia",,107000.0,2007-01-01,,"EuroCup Basketball","Power forward (basketball)","Metropolitans 92","Krešimir Ćosić Cup, LNB Pro A"
"Guy Pnini",1983-09-04,"Tel Aviv",,94000.0,2001-01-01,,"Israeli Basketball Premier League","Small forward","Hapoel Holon B.C.","2018–19 Israeli Basketball Premier League, Israeli Basketball Premier League, Israeli Basketball Premier League Quintet, Israeli Basketball State Cup"
"Keira Robinson",1994-12-20,"Columbia, South Carolina",,,2017-01-01,,"Úrvalsdeild kvenna (basketball)","Point guard","Haukar women's basketball","Icelandic Women's Basketball Supercup"
"Karlo Uljarević",1998-11-20,"Osijek",,,2013-01-01,,"HT Premijer liga","Basketball positions","KK Gorica","Krešimir Ćosić Cup"
"Hailey Van Lith",2001-09-09,"Wenatchee, Washington",1.7018,70308.0,,,"Atlantic Coast Conference","Point guard","Louisville Cardinals women's basketball","Atlantic Coast Conference, FIBA 3x3 Under-18 World Cup, McDonald's All-American Game"
"Greg Paulus",1986-07-03,"Medina, Ohio",1.8542,81648.0,,,"Metro Atlantic Athletic Conference","Point guard","Niagara Purple Eagles men's basketball","Atlantic Coast Conference, List of All-Atlantic Coast Conference men's basketball teams, McDonald's All-American Game, Mr. New York Basketball, Parade All-America Boys Basketball Team"
"Mike Thibault",1950-09-28,"Saint Paul, Minnesota",,,,,"Women's National Basketball Association","General manager (basketball)","Washington Mystics","2008 WNBA season, Women's National Basketball Association, World Basketball League"
"Pascal Donnadieu",1964-05-29,"France",,,,,"LNB Pro A","Head coach","Nanterre 92","LNB Pro A"
"Memi Bečirovič",1961-03-01,"Slovenska Bistrica",,,,,"Chinese Basketball Association","Coach (basketball)","Nanjing Monkey Kings","2014 FIBA Asia Cup, FIBA Asia Challenge, FIBA Asia Cup, Premier A Slovenian Basketball League, Ukrainian Basketball SuperLeague"
"Milivoje Lazić",1978-05-13,"Socialist Federal Republic of Yugoslavia",,,,,"Basketball League of Serbia","Coach (basketball)","KK Dunav Stari Banovci","Basketball League of Serbia"
"Ibon Navarro",1976-04-30,"Spain",,,,,"Basketball Champions League","Coach (basketball)","Baloncesto Málaga","Liga ACB"
"Tahj Eaddy",1996-07-05,"West Haven, Connecticut",1.8796,74844.0,2021-01-01,,"Lietuvos krepšinio lyga","Point guard, Shooting guard","BC Prienai","List of All-Pac-12 Conference men's basketball teams, West Coast Conference"
"Michael Bryson (basketball)",1994-09-30,"Sacramento, California",1.9304,90720.0,2016-01-01,,"Nemzeti Bajnokság I/A (men's basketball)","Shooting guard","PVSK Panthers","Big West Conference"
"Matt Thomas (basketball)",1994-08-04,"Decatur, Illinois",1.905,86184.0,2017-01-01,,"National Basketball Association","Shooting guard","Chicago Bulls","EuroCup Basketball"
"Paulinho Boracini",1984-12-26,"São Paulo (state)",1.8288,81648.0,2001-01-01,,"Novo Basquete Brasil","Point guard","Associação Bauru Basketball Team","Novo Basquete Brasil awards"
"Michael Efevberha",1984-08-22,"Pomona, California",1.9304,88452.0,2006-01-01,,"LNB Pro B","Shooting guard","JA Vichy-Clermont Métropole Basket","Czech Republic Basketball Cup, National Basketball League (Czech Republic), New Zealand NBL All-Star Five, New Zealand NBL Most Outstanding Guard Award, New Zealand NBL Scoring Champion, Swiss Basketball League"
"Matt Lewis (basketball)",1998-12-21,"Woodbridge, Virginia",1.9558,90720.0,2021-01-01,,"NBA G League","Shooting guard","Iowa Wolves","Colonial Athletic Association, Colonial Athletic Association Men's Basketball Player of the Year"
"Matt Mooney",1995-02-05,"Chicago",1.8796,90266.4,2019-01-01,,"Basketball Champions League, Liga ACB","Shooting guard","Baloncesto Málaga","Big 12 Conference, Summit League"
"Talen Horton-Tucker",2000-11-25,"Chicago",1.9304,106142.0,2019-01-01,,"National Basketball Association","Shooting guard","Los Angeles Lakers","Big 12 Conference, List of NBA champions"
"Grayson Allen",1995-10-08,"Jacksonville, Florida",1.9304,89812.8,2018-01-01,,"National Basketball Association","Shooting guard","Milwaukee Bucks","Associated Press, List of All-Atlantic Coast Conference men's basketball teams, List of NCAA Division I men's basketball champions, McDonald's All-American Game, NCAA Men's Basketball All-Americans, National Association of Basketball Coaches"
"Mihajlo Andrić",1994-01-04,"Serbia and Montenegro",,98000.0,2012-01-01,,"EuroCup Basketball, Greek Basket League","Shooting guard","Promitheas Patras B.C.","2013–14 Basketball League of Serbia, Basketball League of Serbia, Radivoj Korać Cup"
"Mirko Mulalić",1988-04-16,"Ljubljana",,90000.0,2007-01-01,,"ABA League, EuroCup Basketball, Premier A Slovenian Basketball League","Shooting guard","KK Cedevita Olimpija","National Basketball League (Bulgaria), Premier A Slovenian Basketball League"
"Miloš Teodosić",1987-03-19,"Valjevo",,90000.0,2004-01-01,,"EuroCup Basketball, Lega Basket","Point guard, Shooting guard","Virtus Bologna","2012–13 Euroleague, EuroCup Basketball, EuroLeague, Euroscar, FIBA Europe Men's Player of the Year Award, FIBA U20 European Championship, Italian Basketball Supercup, Serbian Basketball Player of the Year, VTB United League Hall of Fame"
"Michał Chyliński",1986-02-22,"Bydgoszcz",,95000.0,2003-01-01,,"Polish Basketball League","Point guard, Shooting guard","Astoria Bydgoszcz","Polish Basketball League, Polish Basketball Supercup"
"Mihailo Jovičić",1999-01-24,"Kragujevac",,84000.0,2014-01-01,,"ABA League Second Division, Prva A Liga","Point guard","KK Podgorica","Junior ABA League"
"Milić Starovlah",1998-01-28,"Republic of Montenegro (1992–2006)",,89000.0,2016-01-01,,"ABA League, Prva A Liga","Shooting guard","KK Studentski centar","ABA League, ABA League Second Division, Montenegrin Basketball Cup, Prva A Liga"
"Keye van der Vuurst de Vries",2001-12-29,"Rijswijk",,85000.0,2018-01-01,,"Basketball Champions League","Point guard","B.C. Oostende","Belgian Basketball Cup, Belgian Basketball Supercup, Pro Basketball League"
"Mike Schilder",1994-05-24,"Eindhoven",1.8288,,2010-01-01,,"Dutch Basketball League","Point guard","Landstede Hammers","Dutch Basketball Supercup"
"Mike Schilder",1994-05-24,"Netherlands",1.8288,,2010-01-01,,"Dutch Basketball League","Point guard","Landstede Hammers","Dutch Basketball Supercup"
"Kenny Gasana",1984-11-09,"San Antonio",,,2007-01-01,,"Bahraini Premier League (basketball)","Shooting guard","Bahrain SC","American Basketball Association (2000–present), National Basketball League (Rwanda)"
